isced11;Country;Year;value
ED0-2;AT;2005;24.5
ED0-2;AT;2006;25
ED0-2;AT;2007;25.4
ED0-2;AT;2008;24.6
ED0-2;AT;2009;23.8
ED0-2;AT;2010;23.2
ED0-2;AT;2011;23.1
ED0-2;AT;2012;22.4
ED0-2;AT;2013;22.2
ED0-2;AT;2014;20.3
ED0-2;AT;2015;19.6
ED0-2;AT;2016;19.6
ED0-2;AT;2017;19.3
ED0-2;AT;2018;18.9
ED0-2;AT;2019;18.7
ED0-2;AT1;2005;24.2
ED0-2;AT1;2006;24.2
ED0-2;AT1;2007;25.1
ED0-2;AT1;2008;23.9
ED0-2;AT1;2009;23.4
ED0-2;AT1;2010;22.6
ED0-2;AT1;2011;22.9
ED0-2;AT1;2012;22.5
ED0-2;AT1;2013;22
ED0-2;AT1;2014;20.4
ED0-2;AT1;2015;19.6
ED0-2;AT1;2016;19.8
ED0-2;AT1;2017;19.6
ED0-2;AT1;2018;19.4
ED0-2;AT1;2019;19.4
ED0-2;AT11;2005;27.6
ED0-2;AT11;2006;27
ED0-2;AT11;2007;26.5
ED0-2;AT11;2008;25.3
ED0-2;AT11;2009;24.3
ED0-2;AT11;2010;24.3
ED0-2;AT11;2011;23.8
ED0-2;AT11;2012;22.9
ED0-2;AT11;2013;22.8
ED0-2;AT11;2014;20.3
ED0-2;AT11;2015;18.8
ED0-2;AT11;2016;20.2
ED0-2;AT11;2017;18.8
ED0-2;AT11;2018;18.8
ED0-2;AT11;2019;18.5
ED0-2;AT12;2005;23.7
ED0-2;AT12;2006;23.9
ED0-2;AT12;2007;24.3
ED0-2;AT12;2008;23.1
ED0-2;AT12;2009;22.2
ED0-2;AT12;2010;21.6
ED0-2;AT12;2011;22.1
ED0-2;AT12;2012;22.3
ED0-2;AT12;2013;21.2
ED0-2;AT12;2014;20
ED0-2;AT12;2015;18.2
ED0-2;AT12;2016;18.7
ED0-2;AT12;2017;18.9
ED0-2;AT12;2018;17.8
ED0-2;AT12;2019;17.3
ED0-2;AT13;2005;24.1
ED0-2;AT13;2006;24
ED0-2;AT13;2007;25.5
ED0-2;AT13;2008;24.4
ED0-2;AT13;2009;24.3
ED0-2;AT13;2010;23.2
ED0-2;AT13;2011;23.4
ED0-2;AT13;2012;22.7
ED0-2;AT13;2013;22.5
ED0-2;AT13;2014;20.7
ED0-2;AT13;2015;20.9
ED0-2;AT13;2016;20.7
ED0-2;AT13;2017;20.3
ED0-2;AT13;2018;20.8
ED0-2;AT13;2019;21.3
ED0-2;AT2;2005;22.1
ED0-2;AT2;2006;22.4
ED0-2;AT2;2007;22.8
ED0-2;AT2;2008;22.3
ED0-2;AT2;2009;21.4
ED0-2;AT2;2010;21
ED0-2;AT2;2011;19.8
ED0-2;AT2;2012;19.4
ED0-2;AT2;2013;20.2
ED0-2;AT2;2014;17.7
ED0-2;AT2;2015;16.8
ED0-2;AT2;2016;17.1
ED0-2;AT2;2017;17.4
ED0-2;AT2;2018;16.6
ED0-2;AT2;2019;16.3
ED0-2;AT21;2005;20.4
ED0-2;AT21;2006;21.2
ED0-2;AT21;2007;20.8
ED0-2;AT21;2008;20.5
ED0-2;AT21;2009;19.4
ED0-2;AT21;2010;19.6
ED0-2;AT21;2011;18.8
ED0-2;AT21;2012;18.5
ED0-2;AT21;2013;19.3
ED0-2;AT21;2014;16.4
ED0-2;AT21;2015;16.3
ED0-2;AT21;2016;15.3
ED0-2;AT21;2017;16
ED0-2;AT21;2018;15.7
ED0-2;AT21;2019;15.6
ED0-2;AT22;2005;22.9
ED0-2;AT22;2006;23
ED0-2;AT22;2007;23.8
ED0-2;AT22;2008;23.2
ED0-2;AT22;2009;22.2
ED0-2;AT22;2010;21.7
ED0-2;AT22;2011;20.3
ED0-2;AT22;2012;19.9
ED0-2;AT22;2013;20.6
ED0-2;AT22;2014;18.3
ED0-2;AT22;2015;17
ED0-2;AT22;2016;18
ED0-2;AT22;2017;17.9
ED0-2;AT22;2018;17
ED0-2;AT22;2019;16.6
ED0-2;AT3;2005;26.2
ED0-2;AT3;2006;27.4
ED0-2;AT3;2007;27.3
ED0-2;AT3;2008;26.7
ED0-2;AT3;2009;25.8
ED0-2;AT3;2010;25.3
ED0-2;AT3;2011;25.2
ED0-2;AT3;2012;23.8
ED0-2;AT3;2013;23.5
ED0-2;AT3;2014;21.5
ED0-2;AT3;2015;21.1
ED0-2;AT3;2016;20.7
ED0-2;AT3;2017;20
ED0-2;AT3;2018;19.5
ED0-2;AT3;2019;19.2
ED0-2;AT31;2005;27.2
ED0-2;AT31;2006;28.2
ED0-2;AT31;2007;28.1
ED0-2;AT31;2008;27.5
ED0-2;AT31;2009;26.8
ED0-2;AT31;2010;25.8
ED0-2;AT31;2011;25.8
ED0-2;AT31;2012;24.2
ED0-2;AT31;2013;24
ED0-2;AT31;2014;21.7
ED0-2;AT31;2015;21.2
ED0-2;AT31;2016;20.2
ED0-2;AT31;2017;20.3
ED0-2;AT31;2018;19.8
ED0-2;AT31;2019;18.3
ED0-2;AT32;2005;23.2
ED0-2;AT32;2006;23.6
ED0-2;AT32;2007;23.6
ED0-2;AT32;2008;22.2
ED0-2;AT32;2009;20.8
ED0-2;AT32;2010;20.9
ED0-2;AT32;2011;20.1
ED0-2;AT32;2012;19.9
ED0-2;AT32;2013;20.5
ED0-2;AT32;2014;19.1
ED0-2;AT32;2015;18.3
ED0-2;AT32;2016;18.2
ED0-2;AT32;2017;17.8
ED0-2;AT32;2018;17
ED0-2;AT32;2019;17.8
ED0-2;AT33;2005;24.4
ED0-2;AT33;2006;27.1
ED0-2;AT33;2007;27.5
ED0-2;AT33;2008;26.8
ED0-2;AT33;2009;26.4
ED0-2;AT33;2010;26.1
ED0-2;AT33;2011;25.8
ED0-2;AT33;2012;24.5
ED0-2;AT33;2013;23.4
ED0-2;AT33;2014;21.6
ED0-2;AT33;2015;21.4
ED0-2;AT33;2016;21.8
ED0-2;AT33;2017;19.7
ED0-2;AT33;2018;19.1
ED0-2;AT33;2019;20
ED0-2;AT34;2005;29.9
ED0-2;AT34;2006;30.6
ED0-2;AT34;2007;29.5
ED0-2;AT34;2008;29.8
ED0-2;AT34;2009;28.1
ED0-2;AT34;2010;28.2
ED0-2;AT34;2011;28.8
ED0-2;AT34;2012;26.9
ED0-2;AT34;2013;25.8
ED0-2;AT34;2014;24.5
ED0-2;AT34;2015;24.4
ED0-2;AT34;2016;24
ED0-2;AT34;2017;23
ED0-2;AT34;2018;23
ED0-2;AT34;2019;23.4
ED0-2;E;2005;36.3
ED0-2;E;2006;35.7
ED0-2;E;2007;34.8
ED0-2;E;2008;33.6
ED0-2;E;2009;32.4
ED0-2;E;2010;32.6
ED0-2;E;2011;31.9
ED0-2;E;2012;31.4
ED0-2;E;2013;30.4
ED0-2;E;2014;29.5
ED0-2;E;2015;28.7
ED0-2;E;2016;28.2
ED0-2;E;2017;27.2
ED0-2;E;2018;26.3
ED0-2;E;2019;25.9
ED0-2;E1;2005;36.4
ED0-2;E1;2006;36.3
ED0-2;E1;2007;35.9
ED0-2;E1;2008;37.1
ED0-2;E1;2009;34.4
ED0-2;E1;2010;35.8
ED0-2;E1;2011;36.1
ED0-2;E1;2012;35.5
ED0-2;E1;2013;35.7
ED0-2;E1;2014;35.2
ED0-2;E1;2015;33.7
ED0-2;E1;2016;32.9
ED0-2;E1;2017;31.4
ED0-2;E1;2018;31.1
ED0-2;E1;2019;32.2
ED0-2;E10;2005;36.4
ED0-2;E10;2006;36.3
ED0-2;E10;2007;35.9
ED0-2;E10;2008;37.1
ED0-2;E10;2009;34.4
ED0-2;E10;2010;35.8
ED0-2;E10;2011;36.1
ED0-2;E10;2012;35.5
ED0-2;E10;2013;35.7
ED0-2;E10;2014;35.2
ED0-2;E10;2015;33.7
ED0-2;E10;2016;32.9
ED0-2;E10;2017;31.4
ED0-2;E10;2018;31.1
ED0-2;E10;2019;32.2
ED0-2;E2;2005;34.7
ED0-2;E2;2006;33.7
ED0-2;E2;2007;33.1
ED0-2;E2;2008;31.1
ED0-2;E2;2009;30.2
ED0-2;E2;2010;30.1
ED0-2;E2;2011;29
ED0-2;E2;2012;28.7
ED0-2;E2;2013;27.3
ED0-2;E2;2014;26.6
ED0-2;E2;2015;25.9
ED0-2;E2;2016;25.5
ED0-2;E2;2017;24.3
ED0-2;E2;2018;23.2
ED0-2;E2;2019;22.5
ED0-2;E21;2005;35.4
ED0-2;E21;2006;34.1
ED0-2;E21;2007;33.6
ED0-2;E21;2008;30.2
ED0-2;E21;2009;30.3
ED0-2;E21;2010;29.8
ED0-2;E21;2011;29.5
ED0-2;E21;2012;28.8
ED0-2;E21;2013;29
ED0-2;E21;2014;26.4
ED0-2;E21;2015;25.9
ED0-2;E21;2016;26.9
