ISCED11;Country;Year;percentage_education;employement_rate
ED0-2;AT;2005;24.5;70.4
ED0-2;AT;2005;19.6;70.4
ED0-2;AT;2006;25;71.6
ED0-2;AT;2006;19.9;71.6
ED0-2;AT;2007;25.4;72.8
ED0-2;AT;2007;20.1;72.8
ED0-2;AT;2008;24.6;73.8
ED0-2;AT;2008;19.1;73.8
ED0-2;AT;2009;23.8;73.4
ED0-2;AT;2009;18.4;73.4
ED0-2;AT;2010;23.2;73.9
ED0-2;AT;2010;17.6;73.9
ED0-2;AT;2011;23.1;74.2
ED0-2;AT;2011;17.6;74.2
ED0-2;AT;2012;22.4;74.4
ED0-2;AT;2012;17.1;74.4
ED0-2;AT;2013;22.2;74.6
ED0-2;AT;2013;17;74.6
ED0-2;AT;2014;20.3;74.2
ED0-2;AT;2014;16.1;74.2
ED0-2;AT;2015;19.6;74.3
ED0-2;AT;2015;15.4;74.3
ED0-2;AT;2016;19.6;74.8
ED0-2;AT;2016;15.5;74.8
ED0-2;AT;2017;19.3;75.4
ED0-2;AT;2017;15;75.4
ED0-2;AT;2018;18.9;76.2
ED0-2;AT;2018;14.7;76.2
ED0-2;AT;2019;18.7;76.8
ED0-2;AT;2019;14.4;76.8
ED0-2;CH;2005;23.7;-1
ED0-2;CH;2005;17;-1
ED0-2;CH;2006;21.9;-1
ED0-2;CH;2006;14.8;-1
ED0-2;CH;2007;21.1;-1
ED0-2;CH;2007;14;-1
ED0-2;CH;2008;20.4;-1
ED0-2;CH;2008;13.2;-1
ED0-2;CH;2009;20.5;-1
ED0-2;CH;2009;13.1;-1
ED0-2;CH;2010;21.3;79.7
ED0-2;CH;2010;15;79.7
ED0-2;CH;2011;21.4;80.8
ED0-2;CH;2011;15.2;80.8
ED0-2;CH;2012;20.4;81
ED0-2;CH;2012;14.3;81
ED0-2;CH;2013;19.6;80.8
ED0-2;CH;2013;13.6;80.8
ED0-2;CH;2014;18.7;81.1
ED0-2;CH;2014;12.8;81.1
ED0-2;CH;2015;18.5;81.7
ED0-2;CH;2015;12.7;81.7
ED0-2;CH;2016;18.2;82
ED0-2;CH;2016;12.6;82
ED0-2;CH;2017;17.8;82.1
ED0-2;CH;2017;12.2;82.1
ED0-2;CH;2018;17.2;82.5
ED0-2;CH;2018;11.6;82.5
ED0-2;CH;2019;16.5;82.9
ED0-2;CH;2019;11;82.9
ED0-2;CY;2005;36.2;74.4
ED0-2;CY;2005;33.4;74.4
ED0-2;CY;2006;33.6;75.8
ED0-2;CY;2006;30.5;75.8
ED0-2;CY;2007;31.1;76.8
ED0-2;CY;2007;27.9;76.8
ED0-2;CY;2008;30.4;76.5
ED0-2;CY;2008;26.9;76.5
ED0-2;CY;2009;31.2;75.3
ED0-2;CY;2009;27.7;75.3
ED0-2;CY;2010;29.6;75
ED0-2;CY;2010;26;75
ED0-2;CY;2011;28.3;73.4
ED0-2;CY;2011;24.8;73.4
ED0-2;CY;2012;26.4;70.2
ED0-2;CY;2012;22.6;70.2
ED0-2;CY;2013;25.4;67.2
ED0-2;CY;2013;21.5;67.2
ED0-2;CY;2014;26.1;67.6
ED0-2;CY;2014;22.4;67.6
ED0-2;CY;2015;25.5;67.9
ED0-2;CY;2015;22.1;67.9
ED0-2;CY;2016;24;68.7
ED0-2;CY;2016;20.5;68.7
ED0-2;CY;2017;22.9;70.8
ED0-2;CY;2017;18.9;70.8
ED0-2;CY;2018;21.9;73.9
ED0-2;CY;2018;17.8;73.9
ED0-2;CY;2019;21.5;75.7
ED0-2;CY;2019;17.5;75.7
ED0-2;CZ;2005;16.8;70.7
ED0-2;CZ;2005;10.1;70.7
ED0-2;CZ;2006;16.4;71.2
ED0-2;CZ;2006;9.7;71.2
ED0-2;CZ;2007;16.2;72
ED0-2;CZ;2007;9.5;72
ED0-2;CZ;2008;15.8;72.4
ED0-2;CZ;2008;9.1;72.4
ED0-2;CZ;2009;15.2;70.9
ED0-2;CZ;2009;8.6;70.9
ED0-2;CZ;2010;14.4;70.4
ED0-2;CZ;2010;8.1;70.4
ED0-2;CZ;2011;13.9;70.9
ED0-2;CZ;2011;7.7;70.9
ED0-2;CZ;2012;13.4;71.5
ED0-2;CZ;2012;7.5;71.5
ED0-2;CZ;2013;12.9;72.5
ED0-2;CZ;2013;7.2;72.5
ED0-2;CZ;2014;12.4;73.5
ED0-2;CZ;2014;6.8;73.5
ED0-2;CZ;2015;12.4;74.8
ED0-2;CZ;2015;6.8;74.8
ED0-2;CZ;2016;12.4;76.7
ED0-2;CZ;2016;6.6;76.7
ED0-2;CZ;2017;12.1;78.5
ED0-2;CZ;2017;6.2;78.5
