Year;Country;ISCED11;AVG_%
2005;Belgium   ;0-2                                                                       ;36,3
2005;Belgium   ;3-4                                                                       ;36,5
2005;Belgium   ;5-8                                                                       ;27,2
2005;Bulgaria  ;0-2                                                                       ;33,4
2005;Bulgaria  ;3-4                                                                       ;48,85
2005;Bulgaria  ;5-8                                                                       ;17,8
2005;Czechia   ;0-2                                                                       ;16,85
2005;Czechia   ;3-4                                                                       ;72,15
2005;Czechia   ;5-8                                                                       ;11,0
2005;Denmark   ;0-2                                                                       ;25,7
2005;Denmark   ;3-4                                                                       ;45,75
2005;Denmark   ;5-8                                                                       ;28,55
2005;Germany   ;0-2                                                                       ;24,8
2005;Germany   ;3-4                                                                       ;54,65
2005;Germany   ;5-8                                                                       ;20,55
2005;Estonia   ;0-2                                                                       ;20,05
2005;Estonia   ;3-4                                                                       ;52,5
2005;Estonia   ;5-8                                                                       ;27,45
2005;Ireland   ;0-2                                                                       ;37,0
2005;Ireland   ;3-4                                                                       ;37,25
2005;Ireland   ;5-8                                                                       ;25,65
2005;Greece    ;0-2                                                                       ;40,05
2005;Greece    ;3-4                                                                       ;42,35
2005;Greece    ;5-8                                                                       ;17,6
2005;Spain     ;0-2                                                                       ;51,7
2005;Spain     ;3-4                                                                       ;22,3
2005;Spain     ;5-8                                                                       ;26,1
2005;France    ;0-2                                                                       ;35,55
2005;France    ;3-4                                                                       ;41,1
2005;France    ;5-8                                                                       ;23,4
2005;Croatia   ;0-2                                                                       ;29,2
2005;Croatia   ;3-4                                                                       ;57,4
2005;Croatia   ;5-8                                                                       ;13,4
2005;Italy     ;0-2                                                                       ;50,6
2005;Italy     ;3-4                                                                       ;38,65
2005;Italy     ;5-8                                                                       ;10,75
2005;Cyprus    ;0-2                                                                       ;36,2
2005;Cyprus    ;3-4                                                                       ;38,1
2005;Cyprus    ;5-8                                                                       ;25,7
2005;Latvia    ;0-2                                                                       ;24,75
2005;Latvia    ;3-4                                                                       ;58,5
2005;Latvia    ;5-8                                                                       ;16,75
2005;Lithuania ;0-2                                                                       ;20,85
2005;Lithuania ;3-4                                                                       ;56,95
2005;Lithuania ;5-8                                                                       ;22,25
2005;Luxembourg;0-2                                                                       ;38,7
2005;Luxembourg;3-4                                                                       ;38,3
2005;Luxembourg;5-8                                                                       ;23,0
2005;Hungary   ;0-2                                                                       ;28,5
2005;Hungary   ;3-4                                                                       ;57,05
2005;Hungary   ;5-8                                                                       ;14,5
2005;Malta     ;0-2                                                                       ;68,9
2005;Malta     ;3-4                                                                       ;20,7
2005;Malta     ;5-8                                                                       ;10,35
2005;Netherland;0-2                                                                       ;34,55
2005;Netherland;3-4                                                                       ;41,0
2005;Netherland;5-8                                                                       ;24,45
2005;Austria   ;0-2                                                                       ;24,45
2005;Austria   ;3-4                                                                       ;60,5
2005;Austria   ;5-8                                                                       ;15,05
2005;Poland    ;0-2                                                                       ;21,85
2005;Poland    ;3-4                                                                       ;64,3
2005;Poland    ;5-8                                                                       ;13,9
2005;Portugal  ;0-2                                                                       ;72,7
2005;Portugal  ;3-4                                                                       ;16,25
2005;Portugal  ;5-8                                                                       ;11,05
2005;Romania   ;0-2                                                                       ;33,3
2005;Romania   ;3-4                                                                       ;57,6
2005;Romania   ;5-8                                                                       ;9,1
2005;Slovenia  ;0-2                                                                       ;24,0
2005;Slovenia  ;3-4                                                                       ;59,3
2005;Slovenia  ;5-8                                                                       ;16,7
2005;Slovakia  ;0-2                                                                       ;19,95
2005;Slovakia  ;3-4                                                                       ;68,65
2005;Slovakia  ;5-8                                                                       ;11,35
2005;Finland   ;0-2                                                                       ;26,95
2005;Finland   ;3-4                                                                       ;44,45
2005;Finland   ;5-8                                                                       ;28,6
2005;Sweden    ;0-2                                                                       ;21,3
2005;Sweden    ;3-4                                                                       ;53,1
2005;Sweden    ;5-8                                                                       ;25,6
2005;Switzerlan;0-2                                                                       ;23,75
2005;Switzerlan;3-4                                                                       ;52,05
2005;Switzerlan;5-8                                                                       ;24,25
2006;Belgium   ;0-2                                                                       ;35,7
2006;Belgium   ;3-4                                                                       ;36,45
2006;Belgium   ;5-8                                                                       ;27,9
2006;Bulgaria  ;0-2                                                                       ;30,6
2006;Bulgaria  ;3-4                                                                       ;51,3
2006;Bulgaria  ;5-8                                                                       ;18,1
2006;Czechia   ;0-2                                                                       ;16,4
2006;Czechia   ;3-4                                                                       ;72,2
2006;Czechia   ;5-8                                                                       ;11,4
2006;Denmark   ;0-2                                                                       ;25,4
2006;Denmark   ;3-4                                                                       ;45,3
2006;Denmark   ;5-8                                                                       ;29,3
2006;Germany (u;0-2                                                                       ;24,6
2006;Germany (u;3-4                                                                       ;55,35
2006;Germany (u;5-8                                                                       ;20,05
2006;Estonia   ;0-2                                                                       ;20,7
2006;Estonia   ;3-4                                                                       ;52,1
2006;Estonia   ;5-8                                                                       ;27,25
2006;Ireland   ;0-2                                                                       ;35,5
2006;Ireland   ;3-4                                                                       ;37,0
2006;Ireland   ;5-8                                                                       ;27,5
2006;Greece    ;0-2                                                                       ;41,4
2006;Greece    ;3-4                                                                       ;39,9
2006;Greece    ;5-8                                                                       ;18,65
2006;Spain     ;0-2                                                                       ;50,85
2006;Spain     ;3-4                                                                       ;22,75
2006;Spain     ;5-8                                                                       ;26,35
2006;France    ;0-2                                                                       ;34,95
2006;France    ;3-4                                                                       ;41,1
2006;France    ;5-8                                                                       ;23,95
2006;Croatia   ;0-2                                                                       ;28,2
2006;Croatia   ;3-4                                                                       ;58,25
2006;Croatia   ;5-8                                                                       ;13,55
2006;Italy     ;0-2                                                                       ;49,55
2006;Italy     ;3-4                                                                       ;39,05
2006;Italy     ;5-8                                                                       ;11,4
2006;Cyprus    ;0-2                                                                       ;33,55
2006;Cyprus    ;3-4                                                                       ;38,85
2006;Cyprus    ;5-8                                                                       ;27,55
2006;Latvia    ;0-2                                                                       ;24,8
2006;Latvia    ;3-4                                                                       ;57,95
2006;Latvia    ;5-8                                                                       ;17,25
2006;Lithuania ;0-2                                                                       ;20,7
2006;Lithuania ;3-4                                                                       ;57,4
2006;Lithuania ;5-8                                                                       ;21,85
2006;Luxembourg;0-2                                                                       ;39,25
2006;Luxembourg;3-4                                                                       ;40,2
2006;Luxembourg;5-8                                                                       ;20,55
2006;Hungary   ;0-2                                                                       ;27,2
2006;Hungary   ;3-4                                                                       ;57,8
2006;Hungary   ;5-8                                                                       ;15,0
2006;Malta     ;0-2                                                                       ;67,5
2006;Malta     ;3-4                                                                       ;21,4
2006;Malta     ;5-8                                                                       ;11,1
2006;Netherland;0-2                                                                       ;33,65
2006;Netherland;3-4                                                                       ;41,45
2006;Netherland;5-8                                                                       ;24,8
2006;Austria   ;0-2                                                                       ;24,95
2006;Austria   ;3-4                                                                       ;60,3
