Country;Year;femaleEmployees;femaleEmployeesHighPosition;femaleEmployeesHighPosition1;growthRateWHP
AT;2005;64;7.1;0;7.1
AT;2006;65.2;5.9;7.1;-1.2
AT;2007;66.2;5;5.9;-0.9
AT;2008;67.6;6.4;5;1.4
AT;2009;68.2;7;6.4;0.6
AT;2010;68.8;8.7;7;1.7
AT;2011;69.2;11.1;8.7;2.4
AT;2012;69.6;11.9;11.1;0.8
AT;2013;70;12.6;11.9;0.7
AT;2014;70.1;17.1;12.6;4.5
AT;2015;70.2;20;17.1;2.9
AT;2016;70.9;18.1;20;-1.9
AT;2017;71.4;19.2;18.1;1.1
AT;2018;71.7;26.1;19.2;6.9
AT;2019;72.4;31.3;26.1;5.2
BE;2005;58.6;6.2;0;6.2
BE;2006;58.8;5.8;6.2;-0.4
BE;2007;60.3;6.4;5.8;0.6
BE;2008;61.3;7.2;6.4;0.8
BE;2009;61;7.6;7.2;0.4
BE;2010;61.6;10.5;7.6;2.9
BE;2011;61.5;10.9;10.5;0.4
BE;2012;61.7;12.9;10.9;2.0
BE;2013;62.1;16.7;12.9;3.8
BE;2014;62.9;22.4;16.7;5.7
BE;2015;63;26;22.4;3.6
BE;2016;63;28.6;26;2.6
BE;2017;63.6;30.7;28.6;2.1
BE;2018;65.5;32;30.7;1.3
BE;2019;66.5;35.9;32;3.9
BG;2005;57.1;18.7;0;18.7
BG;2006;60.4;17.1;18.7;-1.6
BG;2007;63.5;14.5;17.1;-2.6
BG;2008;65.4;11.6;14.5;-2.9
BG;2009;64;17.2;11.6;5.6
BG;2010;60.8;11.2;17.2;-6.0
BG;2011;59.8;15.2;11.2;4.0
BG;2012;60.2;11.6;15.2;-3.6
BG;2013;60.7;16.7;11.6;5.1
BG;2014;62;17.6;16.7;0.9
BG;2015;63.8;19;17.6;1.4
BG;2016;64;15.3;19;-3.7
BG;2017;67.3;17.1;15.3;1.8
BG;2018;68.3;14.5;17.1;-2.6
BG;2019;70.7;18.5;14.5;4.0
CY;2005;63.8;6.9;0;6.9
CY;2006;65.9;5.9;6.9;-1.0
CY;2007;67.7;2.1;5.9;-3.8
CY;2008;68.2;2.8;2.1;0.7
CY;2009;68.3;3.3;2.8;0.5
CY;2010;68.8;4;3.3;0.7
CY;2011;67.7;4.6;4;0.6
CY;2012;64.8;7.7;4.6;3.1
CY;2013;62.2;7.3;7.7;-0.4
CY;2014;63.9;9.3;7.3;2.0
CY;2015;64;9;9.3;-0.3
CY;2016;64.1;10.8;9;1.8
CY;2017;66.2;10.4;10.8;-0.4
CY;2018;68.9;11.9;10.4;1.5
CY;2019;70.1;9.4;11.9;-2.5
CZ;2005;61.3;11.3;0;11.3
CZ;2006;61.8;7.6;11.3;-3.7
CZ;2007;62.4;10.6;7.6;3.0
CZ;2008;62.5;13.1;10.6;2.5
CZ;2009;61.4;13.3;13.1;0.2
CZ;2010;60.9;12.2;13.3;-1.1
