Year,Country,code,ISCED11,AVG
2005,Belgium,BE,0-2,36,3
2005,Belgium,BE,3-4,36,5
2005,Belgium,BE,5-8,27,2
2005,Bulgaria,BG,0-2,33,4
2005,Bulgaria,BG,3-4,48,85
2005,Bulgaria,BG,5-8,17,8
2005,Czechia,CZ,0-2,16,85
2005,Czechia,CZ,3-4,72,15
2005,Czechia,CZ,5-8,11,0
2005,Denmark,DK,0-2,25,7
2005,Denmark,DK,3-4,45,75
2005,Denmark,DK,5-8,28,55
2005,Germany,DE,0-2,24,8
2005,Germany,DE,3-4,54,65
2005,Germany,DE,5-8,20,55
2005,Estonia,EE,0-2,20,05
2005,Estonia,EE,3-4,52,5
2005,Estonia,EE,5-8,27,45
2005,Ireland,IE,0-2,37,0
2005,Ireland,IE,3-4,37,25
2005,Ireland,IE,5-8,25,65
2005,Greece,EL,0-2,40,05
2005,Greece,EL,3-4,42,35
2005,Greece,EL,5-8,17,6
2005,Spain,ES,0-2,51,7
2005,Spain,ES,3-4,22,3
2005,Spain,ES,5-8,26,1
2005,France,FR,0-2,35,55
2005,France,FR,3-4,41,1
2005,France,FR,5-8,23,4
2005,Croatia,HR,0-2,29,2
2005,Croatia,HR,3-4,57,4
2005,Croatia,HR,5-8,13,4
2005,Italy,IT,0-2,50,6
2005,Italy,IT,3-4,38,65
2005,Italy,IT,5-8,10,75
2005,Cyprus,CY,0-2,36,2
2005,Cyprus,CY,3-4,38,1
2005,Cyprus,CY,5-8,25,7
2005,Liatvia,LV,0-2,24,75
2005,Liatvia,LV,3-4,58,5
2005,Liatvia,LV,5-8,16,75
2005,Lithuania,LT,0-2,20,85
2005,Lithuania,LT,3-4,56,95
2005,Lithuania,LT,5-8,22,25
2005,Luxembourg,LU,0-2,38,7
2005,Luxembourg,LU,3-4,38,3
2005,Luxembourg,LU,5-8,23,0
2005,Hungary,HU,0-2,28,5
2005,Hungary,HU,3-4,57,05
2005,Hungary,HU,5-8,14,5
2005,Malta,MT,0-2,68,9
2005,Malta,MT,3-4,20,7
2005,Malta,MT,5-8,10,35
2005,Netherland,0-2,34,55
2005,Netherland,3-4,41,0
2005,Netherland,5-8,24,45
2005,Austria,AT,0-2,24,45
2005,Austria,AT,3-4,60,5
2005,Austria,AT,5-8,15,05
2005,Poland,PL,0-2,21,85
2005,Poland,PL,3-4,64,3
2005,Poland,PL,5-8,13,9
2005,Portugal,PT,0-2,72,7
2005,Portugal,PT,3-4,16,25
2005,Portugal,PT,5-8,11,05
2005,Romania,RO,0-2,33,3
2005,Romania,RO,3-4,57,6
2005,Romania,RO,5-8,9,1
2005,Slovenia,SI,0-2,24,0
2005,Slovenia,SI,3-4,59,3
2005,Slovenia,SI,5-8,16,7
2005,Slovakia,SK,0-2,19,95
2005,Slovakia,SK,3-4,68,65
2005,Slovakia,SK,5-8,11,35
2005,Finland,Fi,0-2,26,95
2005,Finland,Fi,3-4,44,45
2005,Finland,Fi,5-8,28,6
2005,Sweden,SE,0-2,21,3
2005,Sweden,SE,3-4,53,1
2005,Sweden,SE,5-8,25,6
2005,Switzerlan,0-2,23,75
2005,Switzerlan,3-4,52,05
2005,Switzerlan,5-8,24,25
2006,Belgium,BE,0-2,35,7
2006,Belgium,BE,3-4,36,45
2006,Belgium,BE,5-8,27,9
2006,Bulgaria,BG,0-2,30,6
2006,Bulgaria,BG,3-4,51,3
2006,Bulgaria,BG,5-8,18,1
2006,Czechia,CZ,0-2,16,4
2006,Czechia,CZ,3-4,72,2
2006,Czechia,CZ,5-8,11,4
2006,Denmark,DK,0-2,25,4
2006,Denmark,DK,3-4,45,3
2006,Denmark,DK,5-8,29,3
2006,Germany,DE,0-2,24,6
2006,Germany,DE,3-4,55,35
2006,Germany,DE,5-8,20,05
2006,Estonia,EE,0-2,20,7
2006,Estonia,EE,3-4,52,1
2006,Estonia,EE,5-8,27,25
2006,Ireland,IE,0-2,35,5
2006,Ireland,IE,3-4,37,0
2006,Ireland,IE,5-8,27,5
2006,Greece,EL,0-2,41,4
2006,Greece,EL,3-4,39,9
2006,Greece,EL,5-8,18,65
2006,Spain,ES,0-2,50,85
2006,Spain,ES,3-4,22,75
2006,Spain,ES,5-8,26,35
2006,France,FR,0-2,34,95
2006,France,FR,3-4,41,1
2006,France,FR,5-8,23,95
2006,Croatia,HR,0-2,28,2
2006,Croatia,HR,3-4,58,25
2006,Croatia,HR,5-8,13,55
2006,Italy,IT,0-2,49,55
2006,Italy,IT,3-4,39,05
2006,Italy,IT,5-8,11,4
2006,Cyprus,CY,0-2,33,55
2006,Cyprus,CY,3-4,38,85
2006,Cyprus,CY,5-8,27,55
2006,Liatvia,LV,0-2,24,8
2006,Liatvia,LV,3-4,57,95
2006,Liatvia,LV,5-8,17,25
2006,Lithuania,LT,0-2,20,7
2006,Lithuania,LT,3-4,57,4
2006,Lithuania,LT,5-8,21,85
2006,Luxembourg,LU,0-2,39,25
2006,Luxembourg,LU,3-4,40,2
2006,Luxembourg,LU,5-8,20,55
2006,Hungary,HU,0-2,27,2
2006,Hungary,HU,3-4,57,8
2006,Hungary,HU,5-8,15,0
2006,Malta,MT,0-2,67,5
2006,Malta,MT,3-4,21,4
2006,Malta,MT,5-8,11,1
2006,Netherland,0-2,33,65
2006,Netherland,3-4,41,45
2006,Netherland,5-8,24,8
2006,Austria,AT,0-2,24,95
2006,Austria,AT,3-4,60,3
2006,Austria,AT,5-8,14,75
2006,Poland,PL,0-2,20,95
2006,Poland,PL,3-4,64,15
2006,Poland,PL,5-8,14,85
2006,Portugal,PT,0-2,71,75
2006,Portugal,PT,3-4,16,65
2006,Portugal,PT,5-8,11,6
2006,Romania,RO,0-2,32,05
2006,Romania,RO,3-4,58,4
2006,Romania,RO,5-8,9,55
2006,Slovenia,SI,0-2,22,9
2006,Slovenia,SI,3-4,59,3
2006,Slovenia,SI,5-8,17,8
2006,Slovakia,SK,0-2,18,85
