Year;Country;Genre;ISCED11;Percentage
2005;BE;M;ED0-2;36.7
2005;BE;M;ED3_4;37.6
2005;BE;M;ED5_8;25.7
2005;BE;F;ED0-2;35.9
2005;BE;F;ED3_4;35.4
2005;BE;F;ED5_8;28.7
2005;BG;M;ED0-2;34.1
2005;BG;M;ED3_4;52.1
2005;BG;M;ED5_8;13.9
2005;BG;F;ED0-2;32.7
2005;BG;F;ED3_4;45.6
2005;BG;F;ED5_8;21.7
2005;CZ;M;ED0-2;14
2005;CZ;M;ED3_4;74
2005;CZ;M;ED5_8;12
2005;CZ;F;ED0-2;19.7
2005;CZ;F;ED3_4;70.3
2005;CZ;F;ED5_8;10
2005;DK;M;ED0-2;25.1
2005;DK;M;ED3_4;48.6
2005;DK;M;ED5_8;26.3
2005;DK;F;ED0-2;26.3
2005;DK;F;ED3_4;42.9
2005;DK;F;ED5_8;30.8
2005;DE;M;ED0-2;22.3
2005;DE;M;ED3_4;53.8
2005;DE;M;ED5_8;23.9
2005;DE;F;ED0-2;27.3
2005;DE;F;ED3_4;55.5
2005;DE;F;ED5_8;17.2
2005;EE;M;ED0-2;22.9
2005;EE;M;ED3_4;55.1
2005;EE;M;ED5_8;22
2005;EE;F;ED0-2;17.2
2005;EE;F;ED3_4;49.9
2005;EE;F;ED5_8;32.9
2005;IE;M;ED0-2;39.9
2005;IE;M;ED3_4;36.3
2005;IE;M;ED5_8;23.7
2005;IE;F;ED0-2;34.1
2005;IE;F;ED3_4;38.2
2005;IE;F;ED5_8;27.6
2005;EL;M;ED0-2;40
2005;EL;M;ED3_4;42.1
2005;EL;M;ED5_8;17.9
2005;EL;F;ED0-2;40.1
2005;EL;F;ED3_4;42.6
2005;EL;F;ED5_8;17.3
2005;ES;M;ED0-2;52.8
2005;ES;M;ED3_4;22
2005;ES;M;ED5_8;25.3
2005;ES;F;ED0-2;50.6
2005;ES;F;ED3_4;22.6
2005;ES;F;ED5_8;26.9
2005;FR;M;ED0-2;34.5
2005;FR;M;ED3_4;43.5
2005;FR;M;ED5_8;22.1
2005;FR;F;ED0-2;36.6
2005;FR;F;ED3_4;38.7
2005;FR;F;ED5_8;24.7
2005;HR;M;ED0-2;23.9
2005;HR;M;ED3_4;63.1
2005;HR;M;ED5_8;13
2005;HR;F;ED0-2;34.5
2005;HR;F;ED3_4;51.7
2005;HR;F;ED5_8;13.8
2005;IT;M;ED0-2;51.3
2005;IT;M;ED3_4;38.6
2005;IT;M;ED5_8;10.1
2005;IT;F;ED0-2;49.9
