ISCED11;Country;Year;MoneyF;MoneyM;IncomeDifferences;GenderWageGap
ED0-2;AT; 2005;16254;17085;831,0;2,492576262
ED0-2;AT; 2006;16359;16491;132,0;0,401826484
ED0-2;AT; 2007;16839;16865;26,0;0,077142179
ED0-2;AT; 2008;17767;18355;588,0;1,6278168429
ED0-2;AT; 2009;19022;18848;-174,0;-0,4594665963
ED0-2;AT; 2010;19110;20148;1038,0;2,6440470732
ED0-2;AT; 2011;20206;19700;-506,0;-1,2679797524
ED0-2;AT; 2012;20213;20650;437,0;1,0694271101
ED0-2;AT; 2013;20302;20671;369,0;0,9005930735
ED0-2;AT; 2014;20809;21228;419,0;0,9967409663
ED0-2;AT; 2015;20788;21450;662,0;1,5673090582
ED0-2;AT; 2016;20688;20438;-250,0;-0,6078879541
ED0-2;AT; 2017;21786;21976;190,0;0,4341666286
ED0-2;AT; 2018;22337;22518;181,0;0,4035224613
ED0-2;AT; 2019;23492;22346;-1146,0;-2,5001090798
ED0-2;BE; 2005;15279;16164;885,0;2,8146169259
ED0-2;BE; 2006;15742;16424;682,0;2,1202511969
ED0-2;BE; 2007;16069;16658;589,0;1,79973722
ED0-2;BE; 2008;16374;17300;926,0;2,7498960622
ED0-2;BE; 2009;17127;18340;1213,0;3,4200806383
ED0-2;BE; 2010;16788;18282;1494,0;4,2600513259
ED0-2;BE; 2011;16810;17906;1096,0;3,1570457426
ED0-2;BE; 2012;16733;18107;1374,0;3,9437428243
ED0-2;BE; 2013;17598;19203;1605,0;4,36129453
ED0-2;BE; 2014;17562;18778;1216,0;3,3461750138
ED0-2;BE; 2015;17439;18904;1465,0;4,0310376138
ED0-2;BE; 2016;17735;19557;1822,0;4,8857663842
ED0-2;BE; 2017;17740;19771;2031,0;5,4144117725
ED0-2;BE; 2018;18264;20477;2213,0;5,7122944684
ED0-2;BE; 2019;-1;-1;0,0;-0,0
ED0-2;BG; 2005;-1;-1;0,0;-0,0
ED0-2;BG; 2006;1105;1174;69,0;3,0276437034
ED0-2;BG; 2007;1155;1193;38,0;1,6183986371
ED0-2;BG; 2008;1970;2077;107,0;2,6439337781
ED0-2;BG; 2009;2358;2445;87,0;1,8113678951
ED0-2;BG; 2010;2245;2484;239,0;5,0539226052
ED0-2;BG; 2011;2021;2172;151,0;3,6012401622
ED0-2;BG; 2012;2102;2178;76,0;1,7757009346
ED0-2;BG; 2013;2096;2111;15,0;0,3565486095
ED0-2;BG; 2014;2268;2411;143,0;3,0562085916
ED0-2;BG; 2015;2425;2446;21,0;0,4311229727
ED0-2;BG; 2016;2091;2241;150,0;3,4626038781
ED0-2;BG; 2017;2352;2495;143,0;2,9502785228
ED0-2;BG; 2018;2494;2520;26,0;0,5185480654
ED0-2;BG; 2019;2797;2934;137,0;2,3905077648
ED0-2;CY; 2005;12506;12516;10,0;0,0399648309
ED0-2;CY; 2006;13678;14144;466,0;1,6749335059
ED0-2;CY; 2007;14872;15192;320,0;1,0643959553
ED0-2;CY; 2008;15085;15518;433,0;1,4148939646
ED0-2;CY; 2009;15727;17030;1303,0;3,9777757426
ED0-2;CY; 2010;15148;16160;1012,0;3,2324006644
ED0-2;CY; 2011;16113;16780;667,0;2,0277870672
ED0-2;CY; 2012;15779;16092;313,0;0,9820840262
ED0-2;CY; 2013;14804;14916;112,0;0,3768506057
ED0-2;CY; 2014;13893;13379;-514,0;-1,8847169258
ED0-2;CY; 2015;12664;12133;-531,0;-2,1413880711
ED0-2;CY; 2016;12697;12526;-171,0;-0,6779526623
ED0-2;CY; 2017;13054;12573;-481,0;-1,8769266789
ED0-2;CY; 2018;13418;13155;-263,0;-0,989726414
ED0-2;CY; 2019;14021;14421;400,0;1,40637086
ED0-2;CZ; 2005;3915;3818;-97,0;-1,2543644123
ED0-2;CZ; 2006;4389;4292;-97,0;-1,11738279
ED0-2;CZ; 2007;4977;4914;-63,0;-0,6369426752
ED0-2;CZ; 2008;5555;5611;56,0;0,501522479
ED0-2;CZ; 2009;6554;6585;31,0;0,2359388081
ED0-2;CZ; 2010;6396;6118;-278,0;-2,2215119067
ED0-2;CZ; 2011;6757;6371;-386,0;-2,9402803169
ED0-2;CZ; 2012;6905;7191;286,0;2,0289443814
ED0-2;CZ; 2013;6683;6774;91,0;0,6762279854
ED0-2;CZ; 2014;6592;6782;190,0;1,4206669658
ED0-2;CZ; 2015;6324;6292;-32,0;-0,2536461636
ED0-2;CZ; 2016;6605;6971;366,0;2,6959340012
ED0-2;CZ; 2017;7214;7260;46,0;0,3178112478
ED0-2;CZ; 2018;7764;8130;366,0;2,3027557569
ED0-2;CZ; 2019;8660;9476;816,0;4,4993383326
ED0-2;DE; 2005;17080;17334;254,0;0,738071715
ED0-2;DE; 2006;16294;16296;2,0;0,0061368518
ED0-2;DE; 2007;16399;17290;891,0;2,6447801953
ED0-2;DE; 2008;17576;17530;-46,0;-0,1310317325
ED0-2;DE; 2009;17037;17162;125,0;0,3655077634
ED0-2;DE; 2010;16761;17366;605,0;1,7727898731
ED0-2;DE; 2011;16759;17749;990,0;2,8688999652
ED0-2;DE; 2012;17277;17493;216,0;0,6212251941
ED0-2;DE; 2013;17191;17929;738,0;2,1013667426
ED0-2;DE; 2014;16602;16492;-110,0;-0,3323865353
ED0-2;DE; 2015;17161;17410;249,0;0,7202568627
ED0-2;DE; 2016;16932;18302;1370,0;3,8882897202
ED0-2;DE; 2017;17899;18342;443,0;1,2223724511
ED0-2;DE; 2018;18702;19898;1196,0;3,0984455959
ED0-2;DE; 2019;18829;20241;1412,0;3,614026107
ED0-2;DK; 2005;21467;23073;1606,0;3,6057476426
ED0-2;DK; 2006;22751;23078;327,0;0,7135220057
ED0-2;DK; 2007;22629;24157;1528,0;3,2659342538
ED0-2;DK; 2008;24306;25026;720,0;1,4594989054
ED0-2;DK; 2009;24079;24658;579,0;1,1880091101
ED0-2;DK; 2010;26104;25635;-469,0;-0,9064728735
ED0-2;DK; 2011;27762;27434;-328,0;-0,5942459599
ED0-2;DK; 2012;26100;26887;787,0;1,4852699719
ED0-2;DK; 2013;26827;26949;122,0;0,2268670039
ED0-2;DK; 2014;28339;28375;36,0;0,0634763903
ED0-2;DK; 2015;28940;28097;-843,0;-1,4779879727
ED0-2;DK; 2016;28804;30012;1208,0;2,0538628945
ED0-2;DK; 2017;28350;29070;720,0;1,2539184953
ED0-2;DK; 2018;31130;30340;-790,0;-1,2851797625
ED0-2;DK; 2019;34097;31792;-2305,0;-3,49830776
ED0-2;EE; 2005;2854;2806;-48,0;-0,8480565371
ED0-2;EE; 2006;3398;3583;185,0;2,6500501361
ED0-2;EE; 2007;4156;4404;248,0;2,8971962617
ED0-2;EE; 2008;4678;5911;1233,0;11,644159033
ED0-2;EE; 2009;5479;6068;589,0;5,1008920066
ED0-2;EE; 2010;5219;5707;488,0;4,4664103972
ED0-2;EE; 2011;4846;5058;212,0;2,140549273
ED0-2;EE; 2012;5283;5503;220,0;2,0396810681
ED0-2;EE; 2013;5967;6652;685,0;5,428322371
ED0-2;EE; 2014;6620;7145;525,0;3,8140210679
ED0-2;EE; 2015;6996;7311;315,0;2,201719438
ED0-2;EE; 2016;7466;8282;816,0;5,1816103632
ED0-2;EE; 2017;8001;8806;805,0;4,7896709704
ED0-2;EE; 2018;8907;9642;735,0;3,9624777616
ED0-2;EE; 2019;9723;10304;581,0;2,9010835372
ED0-2;EL; 2005;8835;9181;346,0;1,9205150977
ED0-2;EL; 2006;9474;9600;126,0;0,6605850897
ED0-2;EL; 2007;9801;9853;52,0;0,2645771853
ED0-2;EL; 2008;9906;10041;135,0;0,6767935028
ED0-2;EL; 2009;10456;10439;-17,0;-0,0813591768
ED0-2;EL; 2010;10830;10568;-262,0;-1,2244134966
ED0-2;EL; 2011;9905;9613;-292,0;-1,4960549237
ED0-2;EL; 2012;7984;8117;133,0;0,82603565
ED0-2;EL; 2013;6940;6861;-79,0;-0,5724222882
ED0-2;EL; 2014;6512;6356;-156,0;-1,2123096052
ED0-2;EL; 2015;6614;6304;-310,0;-2,3997522836
ED0-2;EL; 2016;6527;6195;-332,0;-2,6096525704
ED0-2;EL; 2017;6780;6570;-210,0;-1,5730337079
ED0-2;EL; 2018;7005;6779;-226,0;-1,6395821242
ED0-2;EL; 2019;7432;7337;-95,0;-0,6432392173
ED0-2;ES; 2005;10337;10807;470,0;2,2228528188
ED0-2;ES; 2006;10730;11167;437,0;1,9957071745
ED0-2;ES; 2007;11309;11909;600,0;2,5842019123
ED0-2;ES; 2008;13812;13908;96,0;0,3463203463
ED0-2;ES; 2009;14257;14526;269,0;0,9345794393
ED0-2;ES; 2010;14152;14116;-36,0;-0,1273524834
ED0-2;ES; 2011;13314;13413;99,0;0,370411943
ED0-2;ES; 2012;13043;13068;25,0;0,0957450883
ED0-2;ES; 2013;12466;12551;85,0;0,3397689571
ED0-2;ES; 2014;11805;11855;50,0;0,2113271344
ED0-2;ES; 2015;11566;11716;150,0;0,6442745469
ED0-2;ES; 2016;11742;11940;198,0;0,8360780339
ED0-2;ES; 2017;12274;12503;229,0;0,9242442588
ED0-2;ES; 2018;12840;12826;-14,0;-0,0545468713
ED0-2;ES; 2019;13186;13309;123,0;0,4642385356
ED0-2;FI; 2005;18323;18164;-159,0;-0,4357716447
ED0-2;FI; 2006;18277;18568;291,0;0,7897950875
ED0-2;FI; 2007;18564;19485;921,0;2,4205629583
ED0-2;FI; 2008;19778;20802;1024,0;2,5234105471
ED0-2;FI; 2009;21188;21228;40,0;0,0943040362
ED0-2;FI; 2010;21056;21397;341,0;0,8032412315
ED0-2;FI; 2011;21840;21842;2,0;0,0045785449
