ISCED11;Country;Year;Money F;Money M;Income Differences;Gender Wage Gap;GDP
ED0-2;AT; 2005;16254;17085;831.0;2.492576262;254075
ED0-2;AT; 2006;16359;16491;132.0;0.401826484;267824.5
ED0-2;AT; 2007;16839;16865;26.0;0.077142179;283978
ED0-2;AT; 2008;17767;18355;588.0;1.6278168429;293761.9
ED0-2;AT; 2009;19022;18848;-174.0;-0.4594665963;288044
ED0-2;AT; 2010;19110;20148;1038.0;2.6440470732;295896.6
ED0-2;AT; 2011;20206;19700;-506.0;-1.2679797524;310128.7
ED0-2;AT; 2012;20213;20650;437.0;1.0694271101;318653
ED0-2;AT; 2013;20302;20671;369.0;0.9005930735;323910.2
ED0-2;AT; 2014;20809;21228;419.0;0.9967409663;333146.1
ED0-2;AT; 2015;20788;21450;662.0;1.5673090582;344269.2
ED0-2;AT; 2016;20688;20438;-250.0;-0.6078879541;357608
ED0-2;AT; 2017;21786;21976;190.0;0.4341666286;369341.3
ED0-2;AT; 2018;22337;22518;181.0;0.4035224613;385361.9
ED0-2;AT; 2019;23492;22346;-1146.0;-2.5001090798;397575.3
ED0-2;BE; 2005;15279;16164;885.0;2.8146169259;310037.6
ED0-2;BE; 2006;15742;16424;682.0;2.1202511969;325151.5
ED0-2;BE; 2007;16069;16658;589.0;1.79973722;343618.9
ED0-2;BE; 2008;16374;17300;926.0;2.7498960622;351743.1
ED0-2;BE; 2009;17127;18340;1213.0;3.4200806383;346472.8
ED0-2;BE; 2010;16788;18282;1494.0;4.2600513259;363140.1
ED0-2;BE; 2011;16810;17906;1096.0;3.1570457426;375967.8
ED0-2;BE; 2012;16733;18107;1374.0;3.9437428243;386174.7
ED0-2;BE; 2013;17598;19203;1605.0;4.36129453;392880
ED0-2;BE; 2014;17562;18778;1216.0;3.3461750138;403003.3
ED0-2;BE; 2015;17439;18904;1465.0;4.0310376138;416701.4
ED0-2;BE; 2016;17735;19557;1822.0;4.8857663842;430231.1
ED0-2;BE; 2017;17740;19771;2031.0;5.4144117725;445956.6
ED0-2;BE; 2018;18264;20477;2213.0;5.7122944684;459531.6
ED0-2;BE; 2019;-1;-1;0.0;-0.0;473085.1
ED0-2;BG; 2005;-1;-1;0.0;-0.0;47017.2
ED0-2;BG; 2006;1105;1174;69.0;3.0276437034;53608.4
ED0-2;BG; 2007;1155;1193;38.0;1.6183986371;63454.9
ED0-2;BG; 2008;1970;2077;107.0;2.6439337781;72790.3
ED0-2;BG; 2009;2358;2445;87.0;1.8113678951;73181.5
ED0-2;BG; 2010;2245;2484;239.0;5.0539226052;74434.1
ED0-2;BG; 2011;2021;2172;151.0;3.6012401622;80713.7
ED0-2;BG; 2012;2102;2178;76.0;1.7757009346;82238.6
ED0-2;BG; 2013;2096;2111;15.0;0.3565486095;81954.9
ED0-2;BG; 2014;2268;2411;143.0;3.0562085916;83884.9
ED0-2;BG; 2015;2425;2446;21.0;0.4311229727;89362.3
ED0-2;BG; 2016;2091;2241;150.0;3.4626038781;95130.6
ED0-2;BG; 2017;2352;2495;143.0;2.9502785228;102345.1
ED0-2;BG; 2018;2494;2520;26.0;0.5185480654;109743.4
ED0-2;BG; 2019;2797;2934;137.0;2.3905077648;118668.8
ED0-2;CY; 2005;12506;12516;10.0;0.0399648309;14822.3
ED0-2;CY; 2006;13678;14144;466.0;1.6749335059;16000
ED0-2;CY; 2007;14872;15192;320.0;1.0643959553;17511.6
ED0-2;CY; 2008;15085;15518;433.0;1.4148939646;19009.6
ED0-2;CY; 2009;15727;17030;1303.0;3.9777757426;18675.5
ED0-2;CY; 2010;15148;16160;1012.0;3.2324006644;19410
ED0-2;CY; 2011;16113;16780;667.0;2.0277870672;19803
ED0-2;CY; 2012;15779;16092;313.0;0.9820840262;19440.8
ED0-2;CY; 2013;14804;14916;112.0;0.3768506057;17995
ED0-2;CY; 2014;13893;13379;-514.0;-1.8847169258;17430.2
ED0-2;CY; 2015;12664;12133;-531.0;-2.1413880711;17884
ED0-2;CY; 2016;12697;12526;-171.0;-0.6779526623;18929.3
ED0-2;CY; 2017;13054;12573;-481.0;-1.8769266789;20119.9
ED0-2;CY; 2018;13418;13155;-263.0;-0.989726414;21432.4
ED0-2;CY; 2019;14021;14421;400.0;1.40637086;22286.9
ED0-2;CZ; 2005;3915;3818;-97.0;-1.2543644123;3285601
ED0-2;CZ; 2006;4389;4292;-97.0;-1.11738279;3530881
ED0-2;CZ; 2007;4977;4914;-63.0;-0.6369426752;3859533
ED0-2;CZ; 2008;5555;5611;56.0;0.501522479;4042860
ED0-2;CZ; 2009;6554;6585;31.0;0.2359388081;3954320
ED0-2;CZ; 2010;6396;6118;-278.0;-2.2215119067;3992870
ED0-2;CZ; 2011;6757;6371;-386.0;-2.9402803169;4062323
ED0-2;CZ; 2012;6905;7191;286.0;2.0289443814;4088912
ED0-2;CZ; 2013;6683;6774;91.0;0.6762279854;4142811
ED0-2;CZ; 2014;6592;6782;190.0;1.4206669658;4345766
ED0-2;CZ; 2015;6324;6292;-32.0;-0.2536461636;4625378
ED0-2;CZ; 2016;6605;6971;366.0;2.6959340012;4796873
ED0-2;CZ; 2017;7214;7260;46.0;0.3178112478;5110743
ED0-2;CZ; 2018;7764;8130;366.0;2.3027557569;5408766
ED0-2;CZ; 2019;8660;9476;816.0;4.4993383326;5748668
ED0-2;DE; 2005;17080;17334;254.0;0.738071715;2288310
ED0-2;DE; 2006;16294;16296;2.0;0.0061368518;2385080
ED0-2;DE; 2007;16399;17290;891.0;2.6447801953;2499550
ED0-2;DE; 2008;17576;17530;-46.0;-0.1310317325;2546490
ED0-2;DE; 2009;17037;17162;125.0;0.3655077634;2445730
ED0-2;DE; 2010;16761;17366;605.0;1.7727898731;2564400
ED0-2;DE; 2011;16759;17749;990.0;2.8688999652;2693560
ED0-2;DE; 2012;17277;17493;216.0;0.6212251941;2745310
ED0-2;DE; 2013;17191;17929;738.0;2.1013667426;2811350
ED0-2;DE; 2014;16602;16492;-110.0;-0.3323865353;2927430
ED0-2;DE; 2015;17161;17410;249.0;0.7202568627;3026180
ED0-2;DE; 2016;16932;18302;1370.0;3.8882897202;3134740
ED0-2;DE; 2017;17899;18342;443.0;1.2223724511;3259860
ED0-2;DE; 2018;18702;19898;1196.0;3.0984455959;3356410
ED0-2;DE; 2019;18829;20241;1412.0;3.614026107;3449050
ED0-2;DK; 2005;21467;23073;1606.0;3.6057476426;1585984.2
ED0-2;DK; 2006;22751;23078;327.0;0.7135220057;1682260.2
ED0-2;DK; 2007;22629;24157;1528.0;3.2659342538;1738845.3
ED0-2;DK; 2008;24306;25026;720.0;1.4594989054;1801469.9
ED0-2;DK; 2009;24079;24658;579.0;1.1880091101;1722142.5
ED0-2;DK; 2010;26104;25635;-469.0;-0.9064728735;1810925.6
ED0-2;DK; 2011;27762;27434;-328.0;-0.5942459599;1846853.6
ED0-2;DK; 2012;26100;26887;787.0;1.4852699719;1895002.3
ED0-2;DK; 2013;26827;26949;122.0;0.2268670039;1929677
ED0-2;DK; 2014;28339;28375;36.0;0.0634763903;1981165
