Country;Year;% Employment;GDP
AT; 2005;70.4;254075
AT; 2006;71.6;267824.5
AT; 2007;72.8;283978
AT; 2008;73.8;293761.9
AT; 2009;73.4;288044
AT; 2010;73.9;295896.6
AT; 2011;74.2;310128.7
AT; 2012;74.4;318653
AT; 2013;74.6;323910.2
AT; 2014;74.2;333146.1
AT; 2015;74.3;344269.2
AT; 2016;74.8;357608
AT; 2017;75.4;369341.3
AT; 2018;76.2;385361.9
AT; 2019;76.8;397575.3
BE; 2005;66.5;310037.6
BE; 2006;66.5;325151.5
BE; 2007;67.7;343618.9
BE; 2008;68;351743.1
BE; 2009;67.1;346472.8
BE; 2010;67.6;363140.1
BE; 2011;67.3;375967.8
BE; 2012;67.2;386174.7
BE; 2013;67.2;392880
BE; 2014;67.3;403003.3
BE; 2015;67.2;416701.4
BE; 2016;67.7;430231.1
BE; 2017;68.5;445956.6
BE; 2018;69.7;459531.6
BE; 2019;70.5;473085.1
BG; 2005;61.9;47017.2
BG; 2006;65.1;53608.4
BG; 2007;68.4;63454.9
BG; 2008;70.7;72790.3
BG; 2009;68.8;73181.5
BG; 2010;64.7;74434.1
BG; 2011;62.9;80713.7
BG; 2012;63;82238.6
BG; 2013;63.5;81954.9
BG; 2014;65.1;83884.9
BG; 2015;67.1;89362.3
BG; 2016;67.7;95130.6
BG; 2017;71.3;102345.1
BG; 2018;72.4;109743.4
BG; 2019;75;118668.8
CY; 2005;74.4;14822.3
CY; 2006;75.8;16000
CY; 2007;76.8;17511.6
CY; 2008;76.5;19009.6
CY; 2009;75.3;18675.5
CY; 2010;75;19410
CY; 2011;73.4;19803
CY; 2012;70.2;19440.8
CY; 2013;67.2;17995
CY; 2014;67.6;17430.2
CY; 2015;67.9;17884
CY; 2016;68.7;18929.3
CY; 2017;70.8;20119.9
CY; 2018;73.9;21432.4
CY; 2019;75.7;22286.9
CZ; 2005;70.7;3285601
CZ; 2006;71.2;3530881
CZ; 2007;72;3859533
CZ; 2008;72.4;4042860
CZ; 2009;70.9;3954320
CZ; 2010;70.4;3992870
CZ; 2011;70.9;4062323
CZ; 2012;71.5;4088912
CZ; 2013;72.5;4142811
CZ; 2014;73.5;4345766
CZ; 2015;74.8;4625378
CZ; 2016;76.7;4796873
CZ; 2017;78.5;5110743
CZ; 2018;79.9;5408766
CZ; 2019;80.3;5748668
DE; 2005;69.4;2288310
DE; 2006;71.1;2385080
DE; 2007;72.9;2499550
DE; 2008;74;2546490
DE; 2009;74.2;2445730
DE; 2010;75;2564400
DE; 2011;76.5;2693560
DE; 2012;76.9;2745310
DE; 2013;77.3;2811350
DE; 2014;77.7;2927430
